string_5	string_4	string_3	string_2	string_1	inlay_dots	node	edge
10	3	8	12	5	    	()¦	    
11	4	9	1	6	     	  ¦	 ----
12	5	10	2	7	     	  ¦	 ----
1	6	11	3	8	  •  	  ¦	 ----
2	7	12	4	9	     	  ¦	 ----
3	8	1	5	10	  •  	  ¦	 ----
4	9	2	6	11	     	  ¦	 ----
5	10	3	7	12	  •  	  ¦	 ----
6	11	4	8	1	     	  ¦	 ----
7	12	5	9	2	  •  	  ¦	 ----
8	1	6	10	3	     	  ¦	 ----
9	2	7	11	4	     	  ¦	 ----
10	3	8	12	5	 •  •	  ¦	 ----
11	4	9	1	6	     	  ¦	 ----
12	5	10	2	7	     	  ¦	 ----
1	6	11	3	8	  •  	  ¦	 ----
